============== Starting Training ==============
epoch: 10 step: 91, loss is 1.25613534450531
epoch: 20 step: 91, loss is 1.2388807535171509
epoch: 30 step: 91, loss is 0.7932175993919373
epoch: 40 step: 91, loss is 0.5600703358650208
epoch: 50 step: 91, loss is 0.7785807847976685
epoch: 60 step: 91, loss is 0.6708386540412903
epoch: 70 step: 91, loss is 0.6138151288032532
epoch: 80 step: 91, loss is 0.3832710087299347
epoch: 90 step: 91, loss is 0.4972546696662903
epoch: 100 step: 91, loss is 0.2826426923274994
epoch: 110 step: 91, loss is 0.29686716198921204
epoch: 120 step: 91, loss is 0.351462721824646
epoch: 130 step: 91, loss is 0.2732904553413391
epoch: 140 step: 91, loss is 0.3833528757095337
epoch: 150 step: 91, loss is 0.4576220214366913
epoch: 160 step: 91, loss is 0.2867996394634247
epoch: 170 step: 91, loss is 0.6530098915100098
epoch: 180 step: 91, loss is 0.40921738743782043
epoch: 190 step: 91, loss is 0.566851794719696
epoch: 200 step: 91, loss is 0.08758005499839783
epoch: 210 step: 91, loss is 0.5002561211585999
epoch: 220 step: 91, loss is 0.19498980045318604
epoch: 230 step: 91, loss is 0.10539887845516205
epoch: 240 step: 91, loss is 0.08896807581186295
epoch: 250 step: 91, loss is 0.21102628111839294
epoch: 260 step: 91, loss is 0.12045848369598389
epoch: 270 step: 91, loss is 0.19629450142383575
epoch: 280 step: 91, loss is 0.1923718899488449
epoch: 290 step: 91, loss is 0.21574656665325165
epoch: 300 step: 91, loss is 0.09532380104064941
epoch: 310 step: 91, loss is 0.16908690333366394
epoch: 320 step: 91, loss is 0.07050472497940063
epoch: 330 step: 91, loss is 0.05095357075333595
epoch: 340 step: 91, loss is 0.3928579092025757
epoch: 350 step: 91, loss is 0.15348559617996216
epoch: 360 step: 91, loss is 0.11770395934581757
epoch: 370 step: 91, loss is 0.192043736577034
epoch: 380 step: 91, loss is 0.09582410752773285
epoch: 390 step: 91, loss is 0.06377518177032471
epoch: 400 step: 91, loss is 0.10362989455461502
epoch: 410 step: 91, loss is 0.14625249803066254
epoch: 420 step: 91, loss is 0.20999932289123535
epoch: 430 step: 91, loss is 0.09007705748081207
epoch: 440 step: 91, loss is 0.03519970178604126
epoch: 450 step: 91, loss is 0.46626949310302734
epoch: 460 step: 91, loss is 0.3838995099067688
epoch: 470 step: 91, loss is 0.08281616121530533
epoch: 480 step: 91, loss is 0.033287812024354935
epoch: 490 step: 91, loss is 0.13390737771987915
epoch: 500 step: 91, loss is 0.06959811598062515
epoch: 510 step: 91, loss is 0.12694309651851654
epoch: 520 step: 91, loss is 0.031976908445358276
epoch: 530 step: 91, loss is 0.05319570377469063
epoch: 540 step: 91, loss is 0.19696643948554993
epoch: 550 step: 91, loss is 0.04523811116814613
epoch: 560 step: 91, loss is 0.15068350732326508
epoch: 570 step: 91, loss is 0.061465051025152206
epoch: 580 step: 91, loss is 0.08601519465446472
epoch: 590 step: 91, loss is 0.09218335896730423
epoch: 600 step: 91, loss is 0.23551717400550842
{'acc': 0.9829545454545454}
